H_1,I_2,J_3
1.52112404653486,6.25836233701602,1.56011790944644
2.29386016268878,9.40766157405735,1.64298401310767
1.35926058998127,8.57978966003040,3.07071488620601
1.30698945458657,3.64308727864921,2.54090228599134
2.72043595647019,4.24398452036060,1.86864888582933
2.07531254644289,5.15007133343610,1.45288123720864
2.85225699302055,6.93273240192790,2.14961166009196
2.48947378701940,7.59455478655500,3.03157851015122
2.44767785271785,9.45743399680670,2.05268508966307
2.63373946051646,7.53153104592615,1.91117827670942
2.75127247914546,9.25999559045810,1.18562376810085
2.46418323737345,6.65904707287321,1.78461209577427
1.85648827006669,8.26200000000000,7.05371346133248
2.37171940743284,7.73288391221358,2.01445289396822
1.85409339892232,6.79753012931480,1.62718374707424
2.65926742341242,7.26197270424370,1.85418346668689
1.96767246575849,7.04684968042579,7.40210060061352
2.27707711387914,6.91703929330065,1.81565208313396
2.83316080352533,11.56578462932450,7.24850430012591
1.45532634740379,7.34593121885660,6.86789804347767
2.18638537658340,7.10896166781010,3.70363142482223
1.93641249134038,7.40095106466000,7.04849738590789
2.35260404881034,6.93592239885545,1.75929423165871
1.79214954955930,7.02151796461981,1.74858154062641
1.13769594628907,8.82310428766354,6.88530368633456
1.94949814962784,6.43724247039428,2.66886550320751
2.39193069468317,7.86507727387044,2.70471219399677
1.56334790481247,6.25846530861316,2.66086547840411
2.57703230186709,8.53516843908020,2.13232488058738
2.48191162674107,7.60538216870398,1.53383350989575
1.78559400583654,8.63230698752380,7.18717671078495
1.81077688506901,8.21269848045490,0.56457111616732
1.53426097740249,8.16729500981730,2.59526977765661
2.71067130593482,6.61211726802629,3.04092206349151
2.40742135608563,8.71579474169800,7.34090283784809
2.25621653066186,7.36554034047708,1.76283513814640
0.83495165984065,7.12314775069750,1.98439378417853
1.64760340741016,7.58827874366889,3.18970740408157
2.33597725152664,5.82891504968581,2.00739650563208
1.89913047145395,6.97654202118980,1.53932210224178
2.23911089848060,7.31103252408080,2.87650235660377
2.21351996836623,7.11833977489533,6.92352748061687
1.56635675700981,6.13641766993770,6.72576319123493
2.98441648397812,12.44560457787510,2.07936149559386
1.69375039699739,7.25613445187132,6.66181561393394
2.85883270165729,6.91862731190188,2.42759714032243
2.41415508313931,7.67055084708850,2.39679529409729
1.57385663175622,8.25046331215610,2.29440184475042
1.83205935269244,7.03808310502508,1.20367926489803
2.28377689808037,9.35079188429640,2.46158017090124
1.83639111259065,7.87060750743405,3.04448415572443
2.17230180761922,6.01279761031697,2.38913445474849
1.32136370120765,13.60783532006500,1.53963758816004
2.64734927689341,6.25597808428854,2.31534735229494
1.90000588535453,7.16327321189900,0.47205297803204
1.80318175277180,6.72425066033680,2.24624870858784
